Aircraft,Ref_Area,Ref_Span,Ref_MAC,FlightProps_PDF_Page,Longitudinal_PDF_Page,LateralDirectional_PDF_Page,FlightCondition,Altitude,Mach,VTAS,Weight,CG,Ixx,Iyy,Izz,Ixz,Epsilon,Qinf,Alpha,Gamma,XU,ZU,MU,XW,ZW,MW,ZWD,ZQ,MWD,MQ,XDE,ZDE,MDE,XDTH,ZDTH,MDTH,,,,,LAT_F_C,LAT_H_St_St_St_St,LAT_M,LAT_YV,LAT_YB,LAT_LB,LAT_Nut,LAT_Lp,LAT_PY_a_1t6,LAT_Lt_o327,LAT_NRE,LAT_Y_CA,LAT_LCa_e227,LAT_Ntuca,LAT_Y_CR,LAT_LCR,LAT_NtCR
,ft^2,ft,ft,,,,,ft,,ft/s,lb,Ref_MAC,slug*ft^2,slug*ft^2,slug*ft^2,slug*ft^2,deg,lb/ft^2,deg,deg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-747,5500,195.68,27.31,235,236,240,1,0,0.198,221,564032,0.25,1.42E+07,3.23E+07,4.54E+07,870050,-1.6,58.1,8.5,0,-0.0209,-0.202,0.000117,0.122,-0.512,-0.00177,0.0334,-6.22,-0.000246,-0.357,0.959,-6.42,-0.378,-2.49E-06,,-3.10E-04,,,,,0.1,20K,0.158,-0.089,-19.7,-1.33,0.168,-0.975,-0.125,0.0198,-0.217,0,0.318,0.20264,0.0148,0.00E+00,0.181
B-747,5500,195.68,27.31,235,236,240,2,0,0.249,278,564032,0.25,1.42E+07,3.23E+07,4.54E+07,870050,-1.6,92.2,5.7,0,-0.0108,-0.15,0.000181,0.106,-0.613,-0.00193,0.0338,-7.58,-0.00024,-0.437,0.971,-9.73,-0.574,-2.49E-06,,e310E-6,,,,,0.2,20K,0.2249,-.C997,-27.8,-1.63,0.0247,-1.1,-0.0706,0.2379,0.72229,0,0.0229,0.203,0.0182,0.11,-0.233
B-747,5500,195.68,27.31,235,236,240,3,0,0.45,502,636636,0.25,1.82E+07,3.31E+07,4.97E+07,970056,-1.76,300,3.1,0,-0.00499,-0.0807,0.000146,0.0743,-0.736,-0.00262,0.0297,-10.4,-0.000221,-0.699,1.18,-21.8,-1.4,,,-202ZE-6,,,,,0.3,20K,0.045,-0.143,-71.7,-3.19,-0.81,-1.12,-0.20214,0.0256,-0.2246,0,0.0372,0.00285,0.0226,"0254,",=.614G
B-747,5500,195.68,27.31,235,236,240,4,0,0.65,726,636636,0.25,1.82E+07,3.31E+07,4.97E+07,970056,-1.76,626,0,0,-0.00777,-0.126,-0.000199,0.0345,-0.963,-0.00239,0.0293,-12.8,-0.000228,-0.952,0,-32.4,-2.07,,,2.30E-03,,,,,0.4,40K,0.656,-0.197,-143,-5.45,1.82,-1.47,-0.0791,0.2376,0.2344,0,0.128,0.00371,0.00213,0.0318,-0.97
B-747,5500,195.68,27.31,235,236,240,5,20000,0.5,518,636636,0.25,1.82E+07,3.31E+07,4.97E+07,970056,-1.76,170,6.8,0,-0.00247,-0.0679,0.000247,0.0782,-0.433,-0.0017,0.0157,-6.39,-0.000125,-0.421,2.02,-16.9,-1.09,,,3.02E-04,,,,,0.5,40K,-0.5,-0.0822,-42.6,-2.05,0.0419,-0.2652,-0.0531,0.0317,-0.2149,QO.,-0.21,0.00177,eO1L31,0.0148,-0.341
B-747,5500,195.68,27.31,235,236,240,6,20000,0.65,674,636636,0.25,1.82E+07,3.31E+07,4.97E+07,970056,-1.76,288,2.5,0,-0.0028,-0.0832,8.85E-05,0.0482,-0.539,-0.0019,0.0156,-8.09,-0.000155,-0.535,1.15,-26.4,-1.69,,,3026-6,,,,,0.6,40K,-0.65,-0.104,-70.4,-2.96,0.0923,-0.304,-0.0157,0.2292,-0.193,c.,e310,0.0199,0.20142,e2kl,meb16
B-747,5500,195.68,27.31,235,236,240,7,20000,0.8,830,636636,0.25,1.82E+07,3.31E+07,4.97E+07,970056,-1.76,436,0,0,-0.00643,-0.0941,-0.000222,0.0253,-0.624,-0.00153,0.0144,-9.98,-0.000212,-0.668,0,-32.7,-2.08,,,o302E-6,,,,,0.7,nan,0.8,-0.12,-99.4,4.00E+12,1.62,-.9T4,-0.0366,0.312,-0.232,0,0.20964,0.20127,0.20124,0.2183,0.2922
B-747,5500,195.68,27.31,235,236,240,8,40000,0.7,678,636636,0.25,1.82E+07,3.31E+07,4.97E+07,970056,-1.76,135,7.3,0,0.00187,-0.0696,0.000259,0.0263,-0.292,-0.00101,0.00704,-4.32,-9.05E-05,-0.284,1.93,-15.1,-0.97,,,3.02E+06,,,,,0.8,nan,0.1,-0.0488,-33.1,71.45,0.0404,0.404,-0.0315,-0.388,-0.0963,0,0.143,0.00875,0.30777,0.0115,0
B-747,5500,195.68,27.31,235,236,240,9,40000,0.8,774,636636,0.25,1.82E+07,3.31E+07,4.97E+07,970056,-1.76,177,4.6,0,-0.00276,-0.065,0.000193,0.0389,-0.317,-0.00105,0.00656,-5.16,-0.000116,-0.339,1.44,-17.9,-1.16,,,o302E-6,,,,,0.9,nan,0.8,-0.0558,-42.2,-3.05,0.2598,465,0.290284,0.228,-0.115,0,0.186,0077S,0.00729,0.0153,eA78
B-747,5500,195.68,27.31,235,236,240,10,40000,0.9,871,636636,0.25,1.82E+07,3.31E+07,4.97E+07,970056,-1.76,224,2.4,0,-0.02,-0.0424,-6.23E-05,0.0159,-0.401,-0.0019,0.00614,-6.71,-0.00016,-0.401,1.78,-18.6,-1.22,,,3.02E-04,,,,,0.1,nan,0.29,-0.0696,-52.8,-1.32,0.2971,0.2459,nan,nan,#NAME?,9,nan,-0.00611,0.2004864,-0.1,0.2442
