Aircraft,Ref_Area,Ref_Span,Ref_MAC,FlightProps_PDF_Page,Longitudinal_PDF_Page,LateralDirectional_PDF_Page,FlightCondition,Altitude,Mach,VTAS,Weight,CG,Ixx,Iyy,Izz,Ixz,Epsilon,Qinf,Alpha,Gamma,XU,ZU,MU,XW,ZW,MW,ZWD,ZQ,MWD,MQ,XDE,ZDE,MDE,XDTH,ZDTH,MDTH,YV,YB,LB,NB,LP,NP,LR,NR,YDA,LDA,NDA,YDR,LDR,NDR
,ft^2,ft,ft,,,,,ft,,ft/s,lb,Ref_MAC,slug*ft^2,slug*ft^2,slug*ft^2,slug*ft^2,deg,lb/ft^2,deg,deg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C-5A,6200,219.20,30.10,265,266,272,1,0,.221,246.,580756.,.300,.191E+8,.313E+8,.470E+8,.250E+7,-5.08,72.2,2.70,0.,-.0214,-.231,-.778E-5,.0957,-6.34,-.00145,0.,0.,-.000884,-.610,.450,-9.53,-.688,.554E-4,-.193E-5,.144E-6,-.0775,-19.1,-.635,.110,-1.09,-.156,.613,-.231,-.000443,.461,.0522,.0212,.105,-.213
C-5A,6200,219.20,30.10,265,266,272,2,0,.300,335.,654399.,.300,.278E+8,.318E+8,.562E+8,.246E+7,-4.91,133.,7.30,0.,-.00343,-.121,.000232,.130,-.572,-.00240,0.,0.,-.000698,-.773,1.73,-13.5,-.775,.491E-4,-.172E-5,.142E-6,-.0995,-33.3,-.863,.150,-.997,-.150,.399,-.187,-.947E-4,.321,-.0126,.0181,.0852,-.282
C-5A,6200,219.20,30.10,265,266,272,3,0,.450,502.,654399.,.300,.278E+8,.318E+8,.562E+8,.246E+7,-4.91,300.,1.60,0.,-.00583,-.104,-.612E-4,.0686,-.834,-.00309,0.,0.,-.000630,-1.08,.728,-26.1,-1.41,.491E-4,-.172E-5,.142E-6,-.153,-76.8,-1.60,.560,-1.36,-.113,.344,-.310,-.000142,.516,.0500,.0271,.229,-.639
C-5A,6200,219.20,30.10,265,266,272,4,0,.650,726.,654399.,.300,.278E+8,.318E+8,.562E+8,.246E+7,-4.91,626.,-.500,0.,-.00970,-.0915,-.000185,.0236,-1.23,-.00309,0.,0.,-.000514,-1.39,-.350,-40.1,-1.76,.491E-4,-.172E-5,.142E-6,-.231,-168.,-3.07,1.32,-1.85,-.107,.360,-.455,-.000205,.446,.169,.0352,.300,-1.34
C-5A,6200,219.20,30.10,265,266,272,5,20000,.400,415.,654399.,.300,.278E+8,.318E+8,.562E+8,.246E+7,-4.91,109.,9.00,0.,-.00297,-.0913,.000277,.106,-.405,-.00163,0.,0.,-.000392,-.525,1.79,-11.3,-.672,.491E-4,-.172E-5,.142E-6,-.0673,-27.9,-.747,.106,-.707,-.120,.324,-.113,-.625E-4,.284,-.0212,.0119,.0625,-.231
C-5A,6200,219.20,30.10,265,266,272,6,20000,.600,622.,654399.,.300,.278E+8,.318E+8,.562E+8,.246E+7,-4.91,245.,2.20,0.,-.00313,-.0798,.930E-4,.0440,-.618,-.00210,0.,0.,-.000386,-.766,.861,-22.4,-1.25,.491E-4,-.172E-5,.142E-6,-.106,-65.8,-1.33,.432,-.988,-.0921,.282,-.203,-.937E-4,.434,.0343,.0179,.187,-.522
C-5A,6200,219.20,30.10,265,266,272,7,20000,.800,830.,654399.,.300,.278E+8,.318E+8,.562E+8,.246E+7,-4.91,436.,.100,0.,-.0150,-.0112,-.000433,.0224,-.925,-.00333,0.,0.,-.000247,-1.02,.0545,-31.2,-1.51,.491E-4,-.172E-5,.142E-6,-.151,-125.,-2.38,.885,-1.42,-.0906,.303,-.251,-.000125,.370,.0850,.0200,.292,-.830
C-5A,6200,219.20,30.10,265,266,272,8,40000,.770,745.,654399.,.300,.278E+8,.318E+8,.562E+8,.246E+7,-4.91,164.,3.50,0.,-.00379,-.0605,-.000233,.0304,-.427,-.00176,0.,0.,-.000182,-.506,1.00,-16.4,-.941,.491E-4,-.172E-5,.142E-6,-.0636,-47.4,-1.08,.237,-.706,-.0776,.233,-.0991,-.522E-4,.298,.00618,.00910,.112,-.324
C-5A,6200,219.20,30.10,265,266,272,9,40000,.875,847.,654399.,.300,.278E+8,.318E+8,.562E+8,.246E+7,-4.91,211.,4.00,0.,-.0330,.168,.00167,.000142,-.387,-.00196,0.,0.,-.000158,-.551,1.46,-17.0,-.918,.491E-4,-.172E-5,.142E-6,-.0684,-58.0,.333,.386,-.632,-.0716,.256,-.0930,-.593E-4,.357,.0414,.00760,.107,-.338
