Aircraft,Ref_Area,Ref_Span,Ref_MAC,FlightProps_PDF_Page,Longitudinal_PDF_Page,LateralDirectional_PDF_Page,FlightCondition,Altitude,Mach,VTAS,Weight,CG,Ixx,Iyy,Izz,Ixz,Epsilon,Qinf,Alpha,Gamma,XU,ZU,MU,XW,ZW,MW,ZWD,ZQ,MWD,MQ,XDE,ZDE,MDE,XDTH,ZDTH,MDTH,YV,YB,LB,NB,LP,NP,LR,NR,YDA,LDA,NDA,YDR,LDR,NDR
,ft^2,ft,ft,,,,,ft,,ft/s,lb,Ref_MAC,slug*ft^2,slug*ft^2,slug*ft^2,slug*ft^2,deg,lb/ft^2,deg,deg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F-104A,196.1,21.94,9.55,55,56,61,1,0,0.257,287,14126,0.164,3582,55802,56669,2758,-2.86,97.8,13,0,-0.0737,-0.204,0.000294,0.0631,-0.57,-0.00732,0,0,-0.000304,-0.317,1.19,-29.7,-4.79,0.00228,9.94E-05,0,-0.178,-51.1,-20.9,2.68,-1.38,-0.0993,1.16,-0.157,0,4.76,0.266,0.0317,5.35,-0.923
F-104A,196.1,21.94,9.55,55,56,61,2,0,0.8,893,16300,0.07,3679,58613,59541,2699,-2.76,948,2,0,-0.0117,-0.0332,0.000794,0.0556,-1.65,-0.0305,0,0,-0.00058,-1.25,8.07,-231,-37.9,0.00197,8.61E-05,0,-0.452,-404,-146,13.6,-4.64,-0.188,3.67,-0.498,0,49.6,3.51,0.0719,41.5,-7.07
F-104A,196.1,21.94,9.55,55,56,61,3,0,1.1,1228,16300,0.07,3679,58613,59541,2699,-2.76,1792,1,0,-0.0793,0.027,0.00399,0.0343,-2.32,-0.0816,0,0,-0.00058,-1.87,7.27,-416,-63,0.00197,8.61E-05,0,-0.791,-971,-363,42.7,-7.12,-0.341,7.17,-1.06,0,81.5,6.5,0.0621,57.6,-8.72
F-104A,196.1,21.94,9.55,55,56,61,4,15000,0.9,952,16300,0.07,3679,58613,59541,2699,-2.76,677,4.8,0,-0.0167,-0.0199,0.0061,0.0898,-1.22,-0.02,0,0,-0.000478,-0.956,17.6,-209,-33.6,0.00197,8.61E-05,0,-0.328,-312,-134,9.91,-3.63,-0.15,2.66,-0.35,0,34.7,2.64,0.0413,27.6,-4.49
F-104A,196.1,21.94,9.55,55,56,61,5,35000,0.6,584,16300,0.07,3679,58613,59541,2699,-2.76,126,12.4,0,-0.00221,-0.0626,0.000806,0.0384,-0.242,-0.00617,0,0,-0.000297,-0.22,8.05,-36.6,-6.03,0.00197,8.61E-05,0,-0.0868,-50.7,-32.3,1.06,-0.374,-0.0406,1.02,-0.0809,0,6.35,0.407,0.0179,6.66,-1.18
F-104A,196.1,21.94,9.55,55,56,61,6,35000,0.9,876,16300,0.07,3679,58613,59541,2699,-2.76,283,2.5,0,-0.0129,-0.0932,0.00228,0.00565,-0.635,-0.0139,0,0,-0.000287,-0.434,4.35,-99.6,-16.3,0.00197,8.61E-05,0,-0.149,-130,-58.1,4.98,-1.77,-0.0943,1.08,-0.169,0,14.8,1.01,0.0188,11.2,-1.91
F-104A,196.1,21.94,9.55,55,56,61,7,35000,1.2,1167,16300,0.07,3679,58613,59541,2699,-2.76,503,3,0,-0.0131,0.0139,-0.000998,0.01,-0.794,-0.0283,0,0,-0.000129,-0.493,7.55,-144,-23.3,0.00197,8.61E-05,0,-0.234,-273,-115,11.9,-2.27,-0.117,1.88,-0.292,0,19.4,1.49,0.0159,13.1,-2.09
F-104A,196.1,21.94,9.55,55,56,61,8,45000,1.5,1452,16300,0.07,3679,58613,59541,2699,-2.76,489,3.8,0,-0.0125,0.0277,0.00124,0.0108,-0.508,-0.0199,0,0,-4.94E-05,-0.293,7.52,-113,-18.4,0.00197,8.61E-05,0,-0.16,-233,-87.8,9.79,-1.46,-0.0804,0.822,-0.152,0,12.9,0.902,0.000847,7.17,-1.52
F-104A,196.1,21.94,9.55,55,56,61,9,45000,2,1936,16300,0.07,3679,58613,59541,2699,-2.76,869,3,0,-0.0159,0.0171,0.000456,0.011,-0.442,-0.0115,0,0,-8.83E-05,-0.301,7.04,-134,-22.2,0.00197,8.61E-05,0,-0.17,-330,-64.3,6.92,-1.59,-0.0901,0.689,-0.188,0,15.8,0.89,0.00782,8.68,-1.78
F-104A,196.1,21.94,9.55,55,56,61,10,55000,1.8,1742,16300,0.07,3679,58613,59541,2699,-2.76,436,4.8,0,-0.0111,0.0175,0.000798,0.00699,-0.296,-0.0104,0,0,-3.93E-05,-0.183,7.21,-85.8,-13.9,0.00197,8.61E-05,0,-0.102,-177,-52.2,4.62,-0.962,-0.0544,0.469,-0.106,0,8.38,0.517,0.00485,5.04,-1.01
