Aircraft,Ref_Area,Ref_Span,Ref_MAC,FlightProps_PDF_Page,Longitudinal_PDF_Page,LateralDirectional_PDF_Page,FlightCondition,Altitude,Mach,VTAS,Weight,CG,Ixx,Iyy,Izz,Ixz,Epsilon,Qinf,Alpha,Gamma,XU,ZU,MU,XW,ZW,MW,ZWD,ZQ,MWD,MQ,XDE,ZDE,MDE,XDTH,ZDTH,MDTH,YV,YB,LB,NB,LP,NP,LR,NR,YDA,LDA,NDA,YDR,LDR,NDR
,ft^2,ft,ft,,,,,ft,,ft/s,lb,Ref_MAC,slug*ft^2,slug*ft^2,slug*ft^2,slug*ft^2,deg,lb/ft^2,deg,deg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F-4C,530,38.67,16.04,88,89,105,1,0,0.206,230,33197,0.291,23669,117506,133730,1575,-0.82,62.6,11.7,0,-0.0417,-0.177,0.000743,0.13,-0.452,-0.00182,-0.00305,-2.48,-0.000642,-0.317,5.98,-6.65,-1.46,0.000965,-8.87E-05,-4.85E-06,-0.0918,-21.1,-10.4,1.44,-1.43,-0.026,0.929,-0.215,-0.013,2.74,0.416,0.0174,0.799,-0.67
F-4C,530,38.67,16.04,88,89,105,2,0,0.8,893,38925,0.289,25002,122193,139767,2177,-1.09,948,0.3,0,-0.0159,-0.0645,-0.00161,0.00706,-1.54,-0.0199,-0.00271,-8.2,-0.000663,-1.36,0.739,-141,-32.3,0.000823,-7.56E-05,-3.03E-06,-0.335,-299,-26.3,15.6,-3.04,-0.0372,0.817,-0.739,-0.00744,22.2,0.923,0.0442,7.22,-7.8
F-4C,530,38.67,16.04,88,89,105,3,0,1.1,1228,38925,0.289,25002,122193,139767,2177,-1.09,1792,-0.3,0,-0.0677,-0.0226,0.00329,-0.0107,-2.11,-0.0488,-0.00326,-8.72,-0.000729,-2.2,-1.32,-251,-61.1,0.000823,-7.56E-05,-3.03E-06,-0.486,-597,-47,38.2,-3.11,0.0184,0.802,-1.2,-0.0102,15,2.45,0.0307,9.26,-8.8
F-4C,530,38.67,16.04,88,89,105,4,15000,0.9,952,38925,0.289,25002,122193,139767,2177,-1.09,677,0.5,0,-0.0203,-0.134,-0.00425,0.00371,-1.16,-0.0175,-0.0071,-6,-0.00048,-0.993,0.932,-107,-25,0.000823,-7.56E-05,-3.03E-06,-0.215,-205,-27.4,11.5,-2.27,-0.026,0.638,-0.53,-0.00499,17.5,0.747,0.0281,5.07,-5.58
F-4C,530,38.67,16.04,88,89,105,5,35000,0.6,584,38925,0.289,25002,122193,139767,2177,-1.09,126,9.4,0,0.000719,-0.0689,0.000511,0.00458,-0.296,-0.00326,-0.00104,-1.84,-0.000244,-0.307,3.42,-20.7,-4.9,0.000823,-7.56E-05,-3.03E-06,-0.0566,-33.1,-10.7,1.66,-0.799,-0.0179,0.3,-0.134,-0.00151,4.7,0.0887,0.0113,0.768,-1.36
F-4C,530,38.67,16.04,88,89,105,6,35000,0.9,876,38925,0.289,25002,122193,139767,2177,-1.09,283,2.6,0,-0.00796,-0.0876,-0.00239,0.0158,-0.547,-0.00911,-0.00116,-2.89,-0.000267,-0.487,2.25,-49.6,-11.4,0.000823,-7.56E-05,-3.03E-06,-0.0921,-80.6,-18.3,4.97,-1.24,-0.0504,0.395,-0.238,-0.00227,0,0.195,0.0142,1.95,-2.61
F-4C,530,38.67,16.04,88,89,105,7,35000,1.2,1167,38925,0.289,25002,122193,139767,2177,-1.09,503,1.6,0,-0.0135,0.0125,0.00292,0.00576,-0.727,-0.0248,-0.00106,-4.09,-0.000247,-0.745,2.52,-90.4,-20.7,0.000823,-7.56E-05,-3.03E-06,-0.151,-176,-14.1,12.3,-1.38,-0.0378,0.318,-0.397,-0.00302,10.9,0.667,0.0132,2.99,-3.19
F-4C,530,38.67,16.04,88,89,105,8,45000,1.5,1452,38925,0.289,25002,122193,139767,2177,-1.09,489,2.6,0,-0.00679,0.011,0.00341,0.00146,-0.494,-0.0198,-0.00358,-2.24,-8.40E-05,-0.488,3.21,-70.6,-16,0.000823,-7.56E-05,-3.03E-06,-0.118,-171,-11.7,9.9,-1,-0.017,0.328,-0.309,-0.00199,6.78,0.376,0.00988,1.95,-2.03
F-4C,530,38.67,16.04,88,89,105,9,45000,2.15,2081,38925,0.289,25002,122193,139767,2177,-1.09,1004,1.4,0,-0.0158,-0.00892,0.00128,0.00387,-0.486,-0.0205,9.77E-05,-1.27,2.59E-05,-0.404,2.04,-83.6,-16.1,0.000823,-7.56E-05,-3.03E-06,-0.133,-277,-8.67,8.37,-1.08,0.0153,0.217,-0.273,-0.00169,5.35,0.357,0.00867,2.57,-1.86
F-4C,530,38.67,16.04,88,89,105,10,55000,1.8,1742,38925,0.289,25002,122193,139767,2177,-1.09,436,3.3,0,-0.00528,0.000474,0.00175,-0.00501,-0.319,-0.0133,-6.04E-05,1.14,-1.50E-05,-0.286,2.86,-49.6,-11.2,0.000823,-7.56E-05,-3.03E-06,-0.0768,-134,-8.66,6.18,-0.757,-0.00913,0.198,-0.181,-0.000329,4.67,0.0567,0.00614,1.21,-1.31
