Aircraft,Ref_Area_ft2,Ref_Span_ft,Ref_MAC_ft,FlightProps_PDF_Page,Longitudinal_PDF_Page,LateralDirectional_PDF_Page,FlightCondition,Altitude,Mach,VTAS,Weight,CG,Ixx,Iyy,Izz,Ixz,Epsilon,Qinf,Alpha,Gamma,XU,ZU,MU,XW,ZW,MW,ZWD,ZQ,MWD,MQ,XDE,ZDE,MDE,XDTH,ZDTH,MDTH,YV,YB,LB,NB,LP,NP,LR,NR,YDA,LDA,NDA,YDR,LDR,NDR
,ft^2,ft,ft,,,,,ft,,ft/s,lb,Ref_MAC,slug*ft^2,slug*ft^2,slug*ft^2,slug*ft^2,deg,lb/ft^2,deg,deg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HL-10,160,13.6,21.17,158,159,163,1,3000,0.5,552,6466,0.517,1353,6413,7407,399,-3.75,329,10.2,-32,-0.0509,0.0383,0.00463,0.164,-0.915,-0.0305,0,0,0,-0.662,38.1,-212,-28,0,0,0,-0.354,-218,-102,13.9,-1.49,0.039,1.16,-0.498,-0.00523,36,3.39,0.0865,13,-10.6
HL-10,160,13.6,21.17,158,159,163,2,16000,0.38,400,6466,0.517,1353,6413,7407,399,-3.75,116,19,-14,-0.0401,-0.0122,0.00596,0.14,-0.481,-0.0166,0,0,0,-0.321,25.6,-74.2,-9.51,0,0,0,-0.173,-69.3,-43.1,5.51,-0.723,0.0189,0.561,-0.248,-0.0104,15.5,1.96,0.0473,5.12,-3.81
HL-10,160,13.6,21.17,158,159,163,3,22000,0.7,720,6466,0.517,1353,6413,7407,399,-3.75,307,10.6,-26,-0.026,0.0417,0.00225,0.0637,-0.743,-0.0141,0,0,0,-0.472,33.7,-180,-16.8,0,0,0,-0.322,-232,-75.1,13.1,-1.13,0.024,0.82,-0.382,-0.00679,30.7,3.73,0.0553,13,-8.77
HL-10,160,13.6,21.17,158,159,163,4,30000,0.62,617,6466,0.517,1353,6413,7407,399,-3.75,169,15.5,-26,-0.0227,0.0175,0.00217,0.0777,-0.459,-0.0102,0,0,0,-0.305,27.7,-98.7,-12.3,0,0,0,-0.203,-125,-49.5,7.79,-0.686,0.0179,0.532,-0.235,-0.00547,17,2.11,0.0372,6.67,-5.12
HL-10,160,13.6,21.17,158,159,163,5,40000,0.65,629,6466,0.517,1353,6413,7407,399,-3.75,117,18.8,-23.9,-0.0191,-0.0143,0.00136,0.0727,-0.291,-0.00548,0,0,0,-0.205,22.1,-65,-7.97,0,0,0,-0.14,-88.2,-34,5.53,-0.473,0.0115,0.357,-0.162,-0.00428,10.7,1.19,0.0251,4.87,-3.51
HL-10,160,13.6,21.17,158,159,163,6,38000,0.8,774,6466,0.517,1353,6413,7407,399,-3.75,194,14.2,-25,-0.0325,0.0128,0.004,0.0148,-0.432,-0.0139,0,0,0,-0.139,29.6,-117,-16.2,0,0,0,-0.16,-124,-71.4,12.4,-0.71,0.0119,0.477,-245,-0.00899,18.5,2.43,0.028,5.82,-4.65
HL-10,160,13.6,21.17,158,159,163,7,45000,0.95,920,6466,0.517,1353,6413,7407,399,-3.75,196,14.1,-26,-0.0648,0.0182,0.00479,0.0851,-0.417,-0.0148,0,0,0,-0.165,33.5,-133,-16.1,0,0,0,-0.204,-187,-71.5,14,-0.627,0.00882,0.397,-0.234,-0.009,18.2,2.76,0.0233,6.53,-4.6
HL-10,160,13.6,21.17,158,159,163,8,51000,1.1,1064,6466,0.517,1353,6413,7407,399,-3.75,197,14.2,-35,-0.0597,0.00842,0.00478,0.0763,-0.334,-0.0162,0,0,0,-0.199,21.6,-85.3,-14.2,0,0,0,-0.173,-184,-69.7,11,-0.524,0.00877,0.351,-0.185,-0.0059,16.7,1.83,0.0202,6.5,-4.87
HL-10,160,13.6,21.17,158,159,163,9,75000,1.2,1169,6466,0.517,1353,6413,7407,399,-3.75,75.3,8,-15,-0.02,0.00754,0.0013,0.0242,-0.111,-0.00663,0,0,0,-0.0714,4.01,-28.5,-4.23,0,0,0,-0.0564,-66,-25.5,3.94,-0.175,0.00344,0.123,-0.0616,0.000154,5.23,0.0603,0.00677,2.45,-1.75
HL-10,160,13.6,21.17,158,159,163,10,72000,1.5,1458,6466,0.517,1353,6413,7407,399,-3.75,136,12,14,-0.0273,0.000762,0.00258,0.0293,-0.137,-0.00493,0,0,0,-0.0945,5.84,-27.5,-4.53,0,0,0,-0.0851,-124,-34.5,4.91,-0.201,0.00774,0.18,-0.0795,0,7.52,-0.392,0.00777,3.94,-2.18
