Aircraft,Ref_Area_ft2,Ref_Span_ft,Ref_MAC_ft,FlightProps_PDF_Page,Longitudinal_PDF_Page,LateralDirectional_PDF_Page,FlightCondition,Altitude,Mach,VTAS,Weight,CG,Ixx,Iyy,Izz,Ixz,Epsilon,Qinf,Alpha,XU,ZU,MU,XW,ZW,MW,ZWD,ZQ,MWD,MQ,XDE,ZDE,MDE,XDTH,ZDTH,MDTH,YV,YB,LB,NB,LP,NP,LR,NR,YDA,LDA,NDA,YDR,LDR,NDR
,ft^2,ft,ft,,,,,ft,,ft/s,lb,Ref_MAC,slug*ft^2,slug*ft^2,slug*ft^2,slug*ft^2,deg,lb/ft^2,deg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jetstar,542.5,53.75,10.93,189,190,194,1,0,0.2,224,23905,0.25,42275,126106,160113,5470,-2.32,59.4,6.5,-0.0166,-0.175,0.00131,0.108,-1.01,-0.00991,0,0,-0.00091,-0.546,1.97,-17.2,-2.26,0.00135,0,-6.50E-06,-0.14,-31.2,-4.05,1.34,-1.85,-0.245,0.517,-0.19,0,2.21,-0.00557,0.034,1.11,-0.644
Jetstar,542.5,53.75,10.93,189,190,194,2,0,0.23,257,38205,0.25,118779,135876,243518,5061,-2.32,78.4,11.2,-0.00456,-0.103,0.00175,0.164,-0.723,-0.00902,0,0,-0.000834,-0.582,2.78,-14,-2.8,0.000842,0,-6.04E-06,-0.1,-25.8,-3.42,1.1,-0.752,-0.173,0.234,-0.172,0,1.04,-0.0864,0.0244,0.533,-0.58
Jetstar,542.5,53.75,10.93,189,190,194,3,0,0.4,447,38205,0.25,118779,135876,243518,5061,-2.32,237,4,-0.0102,-0.0593,0.000549,0.118,-1.24,-0.0146,0,0,-0.000848,-1.03,3.02,-43.2,-8.38,0.000842,0,-6.04E-06,-0.175,-78,-5.27,3.3,-1.3,-0.164,0.181,-0.261,0,3.14,-0.0767,0.0424,1.61,-1.81
Jetstar,542.5,53.75,10.93,189,190,194,4,20000,0.525,586,38205,0.25,118779,135876,243518,5061,-2.32,408,2.7,-0.0136,-0.0305,0.000727,0.1,-1.65,-0.0201,0,0,-0.000906,-1.33,3.51,-74.5,-14.6,0.000842,0,-6.04E-06,-0.229,-134,-7.28,5.47,-1.75,-0.187,0.17,-0.333,0,5.71,-0.0524,0.0557,2.77,-3.12
Jetstar,542.5,53.75,10.93,189,190,194,5,20000,0.35,363,38205,0.25,118779,135876,243518,5061,-2.32,83.5,9.9,-0.00324,-0.0804,0.00102,0.111,-0.565,-0.00665,0,0,-0.000447,-0.439,2.62,-15,-2.95,0.000842,0,-6.04E-06,-0.0756,-27.5,-3.23,1.21,-0.582,-0.121,0.169,-0.125,0,1.1,-0.077,0.0184,0.568,-0.618
Jetstar,542.5,53.75,10.93,189,190,194,6,20000,0.55,570,38205,0.25,118779,135876,243518,5061,-2.32,206,4.5,-0.00697,-0.0436,0.000815,0.0918,-0.881,-0.0107,0,0,-0.000482,-0.724,2.96,-37.5,-7.47,0.000842,0,-6.04E-06,-0.119,-67.8,-4.43,2.99,-0.935,-0.119,0.124,-0.178,0,2.88,-0.0759,0.0289,1.4,-1.55
Jetstar,542.5,53.75,10.93,189,190,194,7,40000,0.75,778,38205,0.25,118779,135876,243518,5061,-2.32,383,2.6,-0.0157,-0.0212,-0.00047,0.0689,-1.33,-0.0154,0,0,-0.000574,-1.09,3.34,-73.5,-14.5,0.000842,0,-6.04E-06,-0.167,-130,-4.93,5.63,-1.34,-0.137,0.0868,-0.252,0,5.83,-0.0624,0.0371,2.43,-2.66
Jetstar,542.5,53.75,10.93,189,190,194,8,40000,0.5,484,38205,0.25,118779,135876,243518,5061,-2.32,69,11.4,-0.00353,-0.0614,0.000902,0.0858,-0.354,-0.00401,0,0,-0.000207,-0.279,2.49,-12.4,-2.47,0.000842,0,-6.04E-06,-0.0469,-22.7,-2.75,1.02,-0.38,-0.084,0.105,-0.0804,0,0.929,-0.0716,0.0114,0.444,-0.511
Jetstar,542.5,53.75,10.93,189,190,194,9,40000,0.65,628,38205,0.25,118779,135876,243518,5061,-2.32,117,7,-0.00168,-0.0408,0.000747,0.0498,-0.475,-0.00561,0,0,-0.000237,-0.38,2.66,-21.7,-4.27,0.000842,0,-6.04E-06,-0.0618,-38.9,-2.93,1.75,-0.492,-0.0758,0.0936,-0.0994,0,1.71,-0.0831,0.0144,0.766,-0.836
Jetstar,542.5,53.75,10.93,189,190,194,10,40000,0.8,774,38205,0.25,118779,135876,243518,5061,-2.32,177,4.2,-2.11E-06,-0.0348,-0.00425,0.0266,-0.665,-0.0076,0,,-0.00028,-0.506,2.54,-34.6,-6.78,0.000842,0,-6.04E-06,-0.0781,-60.5,-2.27,2.66,-0.635,-0.0682,0.0551,-0.12,0,2.64,-0.072,0.0162,1.21,-1.16
