Aircraft,Ref_Area_ft2,Ref_Span_ft,Ref_MAC_ft,FlightProps_PDF_Page,Longitudinal_PDF_Page,LateralDirectional_PDF_Page,FlightCondition,Altitude,Mach,VTAS,Weight,CG,Ixx,Iyy,Izz,Ixz,Epsilon,Qinf,Alpha,Gamma,XU,ZU,MU,XW,ZW,MW,ZWD,ZQ,MWD,MQ,XDE,ZDE,MDE,XDTH,ZDTH,MDTH,YV,YB,LB,NB,LP,NP,LR,NR,YDA,LDA,NDA,YDR,LDR,NDR
,ft^2,ft,ft,,,,,ft,,ft/s,lb,Ref_MAC,slug*ft^2,slug*ft^2,slug*ft^2,slug*ft^2,deg,lb/ft^2,deg,deg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X-15,200,22.36,10.27,131,132,136,1,0,0.5,558,15560,0.22,3650,80003,82003,590,-0.431,370,4,0,-0.0339,-0.0471,0.00808,0.0269,-1.01,-0.0116,0,0,-0.00025,-0.735,11.2,-160,-13.8,0,0,0,-0.357,-199,-12.4,10.4,-2.54,0.0129,-0.184,-0.576,-0.0274,35.2,1.59,0.137,5.87,-5.81
X-15,200,22.36,10.27,131,132,136,2,0,0.8,893,15560,0.22,3650,80003,82003,590,-0.431,948,1.3,0,-0.0601,-0.0253,0.000278,0.00105,-1.66,-0.0123,0,0,-0.000282,-1.53,9.78,-431,-37.7,0,0,0,-0.571,-510,-1.96,31,-3.93,-0.00884,-0.17,-1.05,-0.04461,113,4.85,0.224,15,-14.9
X-15,200,22.36,10.27,131,132,136,3,20000,0.8,830,15560,0.22,3650,80003,82003,590,-0.431,436,3,0,-0.0292,-0.0335,0.000279,0.0111,-0.845,-0.00954,0,0,-0.00015,-0.755,10.4,-198,-17.4,0,0,0,-0.304,-252,-11.7,13.7,-2.09,-0.00862,-0.083,-0.513,-0.0217,52.2,2.09,0.113,6.6,-7.09
X-15,200,22.36,10.27,131,132,136,4,40000,0.8,774,15560,0.22,3650,80003,82003,590,-0.431,177,7.7,0,-0.0134,-0.0323,0.000188,0.0149,-0.398,-0.00559,0,0,-9.23E-05,-0.376,10.8,-79.6,-7.03,0,0,0,-0.137,-106,-16.3,4.89,-1.16,-0.0139,-0.0353,-0.219,-0.00895,21.1,0.778,0.0509,2.55,72.97
X-15,200,22.36,10.27,131,132,136,5,40000,1.2,1161,15560,0.22,3650,80003,82003,590,-0.431,397,3.2,0,-0.0216,-0.0281,-0.00199,-0.0081,-0.602,-0.00979,0,0,-0.000124,0.559,9.27,-166,-15.5,0,0,0,-0.241,-279,-8.76,15.1,-1.6,-0.0198,-0.0245,-0.356,-0.012,46.5,1.46,0.0821,11.9,-7250
X-15,200,22.36,10.27,131,132,136,6,60000,1.2,1161,15560,0.22,3650,80003,82003,590,-0.431,153,8.3,0,-0.00516,-0.0348,4.95E-05,-0.00893,-0.261,-0.00511,0,0,-4.72E-05,-0.194,9.21,-63.1,-5.96,0,0,0,-0.0951,-110,-5.33,5.21,-0.738,-0.000503,0.057,-0.149,-0.00353,17.8,0.403,0.0326,4.21,2.88
X-15,200,22.36,10.27,131,132,136,7,60000,2,1936,15560,0.22,3650,80003,82003,590,-0.431,424,4,0,-0.00871,-0.0117,0.000471,-0.019,-0.311,-0.00673,0,0,0,-0.182,6.24,-89.2,-9.8,0,0,0,-0.127,-246,-2.36,11.1,-1.02,-0.00735,0.103,-0.196,-0.00498,28.7,0.993,0.0426,5.38,6290
X-15,200,22.36,10.27,131,132,136,8,60000,3,2904,15560,0.22,3650,80003,82003,590,-0.431,954,2.2,0,-0.0101,-0.0106,0.00021,-0.0148,-0.323,-0.00548,0,0,8.94E-06,-0.251,4.85,-126,-12.2,0,0,0,-0.163,-474,16.6,15.7,-1.08,-0.0188,-0.131,-0.251,-0.00543,42.3,1.08,0.0503,6.88,-11.7
X-15,200,22.36,10.27,131,132,136,9,80000,1.6,1564,15560,0.22,3650,80003,82003,590,-0.431,106,14.7,0,-0.00111,-0.0113,0.000529,-0.0127,-0.132,-0.00202,0,0,-6.07E-06,-0.0482,7.11,-27.1,-2.85,0,0,0,-0.0414,-64.8,-12.3,1.76,-0.448,0.00998,0.164,-0.0727,-0.00084,8.05,0.0579,0.0143,1.2,1.81
X-15,200,22.36,10.27,131,132,136,10,80000,6,5865,15560,0.22,3650,80003,82003,590,-0.431,1489,3,0,-0.00916,-0.00551,4.30E-05,-0.00215,-0.121,-0.00082,0,0,0.00E+00,-0.107,5.64,-108,-8.79,0,0,0,-0.0997,-565,-2.01E+01,11.2,-0.507,-0.0195,0.261,-0.106,-0.00157,33,1.13,0.0241,-6.54,-12.2
