Aircraft,Ref_Area,Ref_Span,Ref_MAC,FlightProps_PDF_Page,Longitudinal_PDF_Page,LateralDirectional_PDF_Page,FlightCondition,Altitude,Mach,VTAS,Weight,CG,Ixx,Iyy,Izz,Ixz,Epsilon,Qinf,Alpha,Gamma,XU,ZU,MU,XW,ZW,MW,ZWD,ZQ,MWD,MQ,XDE,ZDE,MDE,XDES,ZDES,MDES,XDTH,ZDTH,MDTH,YV,YB,LB,NB,LP,NP,LR,NR,YDA,LDA,NDA,YDR,LDR,NDR
,ft^2,ft,ft,,,,,ft,,ft/s,lb,Ref_MAC,slug*ft^2,slug*ft^2,slug*ft^2,slug*ft^2,deg,lb/ft^2,deg,deg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XB-70A,6297.8,105.0,78.53,296,297,312,1,0,.310,346.,300017.,.235,.145E+7,.160E+8,.172E+8,-600035.,2.18,142.,7.50,0.,-.0105,-.0893,.000343,.0327,-.757,-.00290,0.,0.,.715E-4,-.749,5.77,-43.8,-.836,5.77,-43.8,-.836,.000107,0.,.138E-6,-.0508,-17.6,-5.04,.898,-1.71,-.156,-.213,-.200,-.0175,2.78,-.125,.0333,.118,-.568
XB-70A,6297.8,105.0,78.53,296,297,312,2,0,.800,893.,384546.,.218,.180E+7,.100E+8,.221E+8,-880050.,2.48,948.,3.20,0.,-.00514,-.0188,-.00113,.0629,-1.19,-.00285,0.,0.,.000161,-1.75,7.67,-137.,-7.46,8.37,-150.,-6.10,.837E-4,0.,.220E-6,-.213,-190.,9.67,1.60,-4.02,.0533,-.636,-.375,-.0129,5.24,-.0386,.0515,-.0881,-1.24
XB-70A,6297.8,105.0,78.53,296,297,312,3,0,.950,1060.,384546.,.218,.180E+7,.100E+8,.221E+8,-880050.,2.48,1336.,2.60,0.,-.0352,-.00588,-.000452,.0698,-1.50,-.00376,0.,0.,.000277,-1.10,7.61,-168.,-11.9,8.44,-186.,-9.92,.837E-4,0.,.220E-6,-.266,-282.,-9.19,3.73,-7.36,.145,-1.01,-.415,-.0133,3.54,-.201,.0531,-4.71,-1.41
XB-70A,6297.8,105.0,78.53,296,297,312,4,20000,.600,622.,384546.,.218,.180E+7,.100E+8,.221E+8,-880050.,2.48,245.,7.70,0.,.000472,-.0271,.000199,.00819,-.580,-.00302,0.,0.,.610E-4,-1.13,6.55,-48.4,-2.61,7.01,-51.9,-2.24,.837E-4,0.,.220E-6,-.0499,-31.0,-6.11,.889,-1.05,.0417,.259,-.140,-.00914,4.01,-.0936,.0249,.260,-.421
XB-70A,6297.8,105.0,78.53,296,297,312,5,40000,.900,871.,384546.,.218,.180E+7,.100E+8,.221E+8,-880050.,2.48,224.,7.50,0.,.00212,-.0399,-.000644,.00700,-.380,-.00316,0.,0.,.567E-4,-1.30,4.87,-37.0,-2.24,5.30,-40.3,-1.90,.837E-4,0.,.220E-6,-.0352,-30.6,-6.18,.881,-1.26,.0572,.0927,-.0883,-.00176,3.54,-.188,.0149,-.455,-.330
XB-70A,6297.8,105.0,78.53,296,297,312,6,40000,1.60,1548.,384546.,.218,.180E+7,.100E+8,.221E+8,-880050.,2.48,707.,3.70,0.,-.00221,-.00543,.796E-4,.0282,-.424,-.00429,0.,0.,.285E-4,-.930,1.87,-29.0,-3.11,2.40,-37.2,-2.27,.837E-4,0.,.220E-6,-.113,-175.,2.90,2.04,-1.16,-.0219,-.202,-.307,.000481,1.51,-.166,.0183,2.10,-.845
XB-70A,6297.8,105.0,78.53,296,297,312,7,40000,2.20,2129.,384546.,.218,.180E+7,.100E+8,.221E+8,-880050.,2.48,1335.,2.30,0.,-.00780,-.00141,.000143,.0349,-.515,-.00403,0.,0.,.114E-4,-.731,1.53,-38.0,-4.62,1.98,-49.2,-3.50,.837E-4,0.,.220E-6,-.129,-275.,4.81,2.21,-1.03,-.0507,-.0625,-.367,0.,1.67,-.107,.0182,1.75,-1.07
XB-70A,6297.8,105.0,78.53,296,297,312,8,60000,2.00,1936.,384546.,.213,.180E+7,.100E+8,.221E+8,-880050.,2.48,424.,6.20,0.,-.00166,-.00494,.000152,.00776,-.192,-.00189,0.,0.,.655E-5,-.383,1.50,-13.8,-1.61,1.93,-17.8,-1.20,.837E-4,0.,.220E-6,-.0473,-91.6,1.94,.811,-.393,-.0170,-.0399,-.134,.231E-4,.966,-.0638,.00750,.800,-.425
XB-70A,6297.8,105.0,78.53,296,297,312,9,60000,2.50,2420.,384546.,.218,.180E+7,.100E+8,.221E+8,-880050.,2.48,663.,4.40,0.,-.00267,-.00149,.436E-4,.00969,-.204,-.00163,0.,0.,0.,-.213,1.26,-16.4,-2.66,1.61,-20.9,-1.57,.837E-4,0.,.220E-6,-.0548,-133.,1.99,.912,-.413,-.0193,.0212,-.151,0.,.993,-.0395,.00721,.481,-.485
XB-70A,6297.8,105.0,78.53,296,297,312,10,60000,3.00,2904.,384546.,.218,.180E+7,.100E+8,.221E+8,-880050.,2.48,954.,3.40,0.,-.00285,.00125,-.376E-4,.00983,-.218,-.00114,0.,0.,0.,-.128,1.22,-20.6,-2.45,1.49,-25.1,-1.98,.837E-4,0.,.220E-6,-.0623,-181.,-.569,1.16,-.438,-.0115,.0849,-.174,0.,1.07,-.0427,.00693,.285,-.582
